2011-04-09 12:02:00,…,"<div class=""summary""><img src=""http://mudasobwa.ru/i/952643_podari-slona-ispanii.thumbnail.jpg"" alt=""Подари слона Испании!""/></div>"
2011-04-09 13:02:00,Серёге Собянину,"<div class=""summary""><p>Страдаю я, друзья, недосыпаньем и новости смотрю я вместо снов. Вчера сказали: мэр Москвы — Испании — с размаху подарил двоих слонов. И жили они, вроде, не в берлогах, и честь страны марать им не с руки — я понял так, что жрали, суки, много. И выпили всю воду из реки. Товарищи! Да как же это можно! Слоны бюджет пускают с молотка! Мне стало на душе совсем тревожно и левая задергалась рука. По слухам, ведь слоны в широтах наших охотно размножаются в вольер. А о слонах за мир и волю павших — не слыхивал ни Рембо, ни Мольер. На кой нам черт угроза серой массы? Не лучше ль сразу сдать их всех врагу? В Валенсию, в Торонто, хоть в пампасы! — Или пустить в шаверму и в рагу? Представьте только, как мы с ними сладим, когда им имя станет — легион? Ведь взрослый слон не только жрет, он — гадит! И гадит очень много взрослый слон.</p>
<p>Ну, кто тут слышал, чтобы по запарке слон спас ребенка, или, может, двух? Слон посадил хоть пень в ближайшем парке? Переводил через шоссе слепых старух? Слон — бесполезен, хоть и популярен. Типичный представитель всей попсы. Хвостом аморфен, хоботом коварен, морщинист, словно ВИА «Верасы». Из-за слонов мы в жопе технологий, слоны виновны в том, что мы бедны. Не стал бы Толкиен писать своих трилогий, когда б вокруг бы жили бы слоны. Да, в области балета — мы на троне, в посудных лавках скоро выйдем в топ. И в зоопарке будет меньше вони (когда мы сбагрим скунса в Конотоп).</p>
<p>Да здравствует наш мэр и иже с ними, мы ждали воли — вот она, встречай! Спасибо хоть за то, что не слоны мы. И нас не ждет ушастая печаль.</p></div>"
2011-04-09 16:28:00,Ты ПСИ?,"<div class=""summary""><img src=""http://mudasobwa.ru/i/moor-dobrovol.jpg"" alt=""Ты подарил слона Испании?""/></div>"
2011-04-09 16:45:00,…,"<div class=""summary""><img src=""http://mudasobwa.ru/i/809085_bud-u-menya-takoj.thumbnail.jpg"" alt=""Будь у меня такой, я бы раздаривал слонов московского зоопарка!""/></div>"
2011-04-09 21:19:00,И в ЖЖ бывают блэкауты,"<div class=""summary""><p>Проснувшись утром, лезу в интернеты — смотрю в статистику, как есть, весь в неглиже. Кто вдруг добавил нас в апологеты? Кто стал антагонистом нам в ЖЖ? Кто так ретив, что вдруг срыгнул в комменты? Кто столь ленив, что ссылку вновь не дал? Какого черта мне интеллигенты засрали юзерпиками журнал? Я, в общем, и за рейтингом не гнался, и не с рекламы жив я как-нибудь… С другими я не сталкиваюсь в галсах, у тём не отвоёвываю грудь. За быковыми — рифм не подбираю, у соловьев я не ворую трель, мне б только продержаться бы до мая, когда вокруг пока еще апрель.</p>
<p>К чему я это все? — Не так давно ли нам в пах вонзили нож на кураже? — как гондольеру нужно быть в гондоле, нам нужно быть по темечко в ЖЖ. А тут — кранты. Нелепая ошибка. Четыреста четыре. Пятьсот пять. Небось, они стараются не шибко? Небось не привлекают вашу мать? Или Гэбэ? Кровавое Гестапо? Кто повалил наш мир, наш дом, наш двор? Кто наложил своей мохнатой лапой — вердикт, решенье, вотум, приговор? Какими они глупыми словами пытаются нас нынче обмануть! Нас в вами! Ну же нас же с вами! Муму и ту — заставят утонуть. Какие-то атаки в недра СУПа! Какие-то дидосы итэдэ. Мне снятся горы живо-юзер-трупов в застенках неживых НКВД.</p>
<p>Кровавая гэбня! Она всесильна! Живой журнал способна умерщвить. Задосить что-нибудь — поток обильный, — но жив ЖЖ и продолжает жить.</p>
<p>Ребята, успокойтесь, все чуть проще. Кровавая гэбня тут ни при чем. Березы потому растут по рощам, что в рощах проще знать чего почем. И мы, хоть нас чуть больше миллиона, пока неинтересны для страны. Нас не допустят с кадилом к амвону, но вот не потому, что мы страшны. Лишь потому, что как всегда беззубы, лишь потому, что мы, как ночь, темны — «что он Гекубе, что ему Гекуба?». Вот так и тут. </p>
<p>Уймитесь, пацаны.</p></div>"
2011-04-11 12:07:00,«Республика живет с открытым лицом»,"<div class=""summary""><p>Во Франции проблем (сравнив с Россией) я вижу меньше ровно на одну. Видать, асфальт прилежнее месили — вот и не нужно ездить по говну. Там нет ни ям, ни кочек, ни ухабов,     ни пешеходов по уши в грязи… Зачем же запретил носить хиджабы своим гражданкам Коля Саркози? Штрафуют всех, кто паранджой в трамвае попробует смирить лихую прядь, тех кто никаб в столовых не снимает, кто в бурке вышел к Сене погулять. Закон не связан с мусульманской верой: в «Коране» нету вето на хиджаб. Но полторы, плюс-минус, сотни евро ведь не берут с носителей пижам? Бейсболки ведь пока не под запретом? Перчатки, шарф, очки — ведь не беда? Тогда зачем хиджаб накрылся ветом? — За что никаб в опале, господа?</p><p>Нет, все же мы с французами похожи, и пусть доро́ги — лишь у нас плохи́, но я бы заставлял открыть — не рожи. Хотя бы грудь заставьте, дураки! Всех принудить в любые дождь и слякоть носить бикини в город и в метро. Эх, Саркози, ты ж все изгадил, лапоть! — Насрал нам прямо в самое нутро.</p><p>Я знаю как решить проблему быстро. Я в этом деле — профессионал: вы ставите меня премьер-министром, а сами к нам — рыть Беломорканал.</p></div><div style=""font-style: italic;"" class=""notes""><a href=""http://www.1tv.ru/news/world/174439"">Во Франции с 11 апреля вступает в силу закон о запрете на ношение паранджи в общественных местах</a></div>"
2011-04-12 08:16:00,1961­­­—2011,"<div class=""summary""><p>Нам не привычно место в пелотоне, мы исстари ломали тесный строй. В любых мирах — от Солнца до Плутона — заглавную всегда играли роль. Мы со времен Батыя не сдавались, не зря ведь Русь — Великой нарекли; нас гнули, да… — но мы не поломались. Вторыми быть мы просто не могли. Не только в шахматах, хоккее и балете — мы в многоборье первыми всегда. Россия испокон в авторитете у остального мира, господа.</p>
<p>Великий ком событий, нарастая, нас ввысь забросил, в космос, в небеса. Улыбкою Гагарина простая всем истина открылась. Голоса радиостанций, прыгая в эфире, теснясь и позабыв про лоск манер, кричали: «Только что! Впервые в мире! Восток! Гагарин! Космос! СССР!».</p>
<p>Такой характер и такие цели — мы первые, развейся сизый дым! А нынче впереди лишь Церетели, и тот — размером, а ничем иным. Кто нынче роль заглавную сыграет? — Вот, может, Дуров? — Цукерберг Второй? Сережа Брин? — Вот он на фото, с краю, за Ларри Пейджем? — вряд ли наш герой. А наша Силикатная долина? Поселок будущего, Пало-Альто-Два? Ну, может быть, но путь тернистый, длинный еще пройти, пока же — лишь слова.</p>
<p>Да что же это делается, братцы? Да как так можно, в Бога-душу-мать? Пора нам то ль самим с колен подняться, то ли пора Россию поднимать. И верю я, что скоро, очень скоро — вернется повод (гордость есть и так). Мы вылезем уже из-под забора — на водку б только раздобыть пятак.</p>
<p>Ну а пока — нет повода не выпить — и наше прошлое — со мной. Алаверды!<br/>
Полтинник величайшему открытию.<br/>
Спасибо, Юра, космос наш. Горды.</p></div>"
2011-04-13 08:30:00,Mądrej głowie dosć dwie słowie,"<div class=""summary""><p>Не помню дальше алфавит (аз, буки, веди?) — не покидаю призрачный мирок. Но вдруг услышал в новостях: Д. А. Медведев намерился пойти на новый срок. Возможно, он надеется, что Ходор плюс восемью оставил прецедент? Иль это питерский такой обычный гонор? — Сказать: «Он — просто друг. Я — президент!»? Не знаю, отчего уныли массы, я бы на месте масс не унывал. Проголосуем, и уйдем в пампасы. И закричим согласно: «Абырвалг!». Когда ты друг, последний раз на выборы пришел, и против правды не грешил? Я, например, в тот раз поехал в Выборг — буквально по велению души.</p>
<p>Пусть двое, но зато какие двое! Тут демократией себя не обмануть. Нас приведут на выборы с конвоем — проголосуем (а могли б и полоснуть). Дадут бумажку, здесь вот распишитесь. Сеть даже не заметят караси. Так что напишет средний русский витязь? — Навряд ли «<a href=""http://ru.wikipedia.org/wiki/%D0%9C%D0%B5%D0%BD%D0%B5,_%D0%BC%D0%B5%D0%BD%D0%B5,_%D1%82%D0%B5%D0%BA%D0%B5%D0%BB,_%D1%83%D0%BF%D0%B0%D1%80%D1%81%D0%B8%D0%BD"">мене, текел, упарсин</a>».</p>
<p>Поэтому я рад: у нас — есть  выбор. Пускай, он тесен. Лишь бы не чреват.<br/>
Карась — ведь тоже в чем-нибудь, да рыба.<br/>
А sapienti — как обычно — sat.</p></div>"
2011-04-16 11:40:00,Игорю с радостью,"<div class=""summary""><p>Я тщательно слежу за каждым маршем — то несогласные идут, то кто еще. Сегодня в белых фартуках не наши под маской «Наших» вышли из трущоб. Не знаю, для чего они бастуют, против кого иль вообще зачем? Возможно, как в «Войну» помашут хуем (или еще побеспокоят чем). Нет, я не против. Я за несогласных. Я сам не соглашался никогда. Ни с чем. В такой стране опасно — чуть согласишься — сразу же туда. Куда туда, когда ГУЛАГ не в моде? — мне шепчет подсознание мое. Туда, куда не ведают в народе. Куда не долетает «ё-моё». То «ё-моё», что многих развернуло, вернуло в строй, швырнуло в целину. Кто вспомнит, что за «ём» чернело дуло? — Никто, и мы теперь у зла в плену.</p>
<p>Сегодня перекрыли два проспекта. Мы их не накрывали кумачом. К нам в белых фартуках приходит сучья секта, а мы, как оказалось ни при чем.</p>
<p>За что же так? Ведь мы не соглашались? За что нам не доехать и до дач? Куда какого чорта вы прижались? К обочине? Так сколько передач в машине вашей, хоть на Порываевой, хоть на Академической? Отож? Давай, столица, время поджимает. Давай, столица, мненья подытожь!</p>
<p>Какого лешего за нас все эти бляди (надевши белы фартуки) пойдут? Пройдут рядком, как бы на гей-параде, ну а потом полтинник отожмут.</p>
<p>Или лимон, Или четыре с лишним. Или пяток (тут заиграет гимн) — ну а кого в сердцах сдадут с поличным — тех мы и сами с радостью сдадим.</p>
<p>Я тщательно слежу за каждым маршем. Я сам не голосую никогда.<br/>
И так умру, навек за все пропащим.<br/>
И в общем, это тоже ерунда.</p></div>"
2011-04-16 20:54:00,«Наши» пидарасы,"<div class=""summary""><p>Хотите составить свое мнение о «наших»? Сходите, поглядите на комментарии к моей предыдущей записи. Ко мне пришло <s>человек</s> уёбков десять оттуда, которые мне внятно объяснили, почему мне больше не нужно писать стихи. Ох, какие же они трогательные.</p></div>"
