2015-10-01 07:58:00,Fave emoji ever,"<img src=""http://31.media.tumblr.com/ab1359915464a19c26562cba195adaa4/tumblr_inline_nt772kZ0Ms1raprkq_500.gif"" alt=""Oh my rake!"" />"
2015-10-01 08:39:00,Millionaïve,"<img src=""http://ic.pics.livejournal.com/mudasobwa/18658516/69283/69283_original.jpg"" alt=""“Why do you fight these mills, Quixote?” “‘Cause I’m a millionaïve!”"">"
2015-10-01 09:01:00,"Знакомьтесь: Денис Крючков, или мудак с маленькой буквы","Пару дней назад приходит письмо от мойкруга, мол, теперь владелец тот же мудак, что всячески мешает нормальному функционированию сайта хабрахабр. Ну пошел удалять аккаунт, спасибо тебе Яндекс, вообще-то можно было и предупредить.

«Чтобы ваши данные были перенесены, необходимо подписать пользовательское соглашение». Ну я, естественно, авотужхер, я этим говноедам — который час без пыток не скажу. А они такие: «можете скачать архив с вашим всем, или удалить аккаунт». Скрин сделать не догадался, был, знаете ли, взволнован. Но вот подтверждение того, что без моего согласия данные они все-таки всосали. 

<img src=""http://ic.pics.livejournal.com/mudasobwa/18658516/69457/69457_original.png"" alt=""Да вы охуели там?"">

Денис Крючков, сходите, сосните что-нибудь по вкусу, а? Слов нет."
2015-10-01 10:14:00,Не мой день,"Сука, сначала эта канитель с мойкругом, теперь фейсбук сменил дизайн своих уведомлений на полное соответствие линкединовскому и обманул меня, заставив войти. Войдя, я подписал лицензионное соглашение автоматом. Придется удалить аккаунт теперь.

Да чтоб вас всех осы в член покусали, цукерберги сраные.

<b>UPD</b>
<img src=""http://ic.pics.livejournal.com/mudasobwa/18658516/69675/69675_original.png"" alt=""Идите нахуй."">"
2015-10-01 14:18:00,Паноптикум продолжается,"Сегодня какой-то прямо день беспризорного идиота.

<blockquote style=""margin-left:1em;padding-left:1em;border-left:3px double #ccc"">We help the best Software Engineers in Spain find a higher paying job in London and move here.
If you take a job through us, we will also give you a £1000 bonus, and we will help you with the process of moving to London.</blockquote>
Бонус, бля. За переезд в Лондон. Как бы эйчаров бы всех собрать на одном острове и отрубить им все средства коммуникации?"
2015-10-03 12:02:00,Мои твиты,"<ul> <li> <a href=""http://twitter.com/mudasobwa/status/650027355365343232""><em>Пт, 21:19</em></a>: <a href=""http://twitter.com/search?q=%232BnKantox"" title=""#2BnKantox"">#2BnKantox</a> <a href=""http://t.co/YULSRqnHA4"">http://t.co/YULSRqnHA4</a> </li> </ul>"
2015-10-10 14:31:00,Перевел Мандалай Киплинга,"В старой пагоде М-моулмейна, глядя вслед м-морской волне,
девка бирманская м-молча грезит м-может обо мне;
ветер путается в пальмах, колокольцев з-звокий лай:
«Возвратись, з-завоеватель, возвратись в Ма-ман-далай!»
    Возвращайся в М-мандалай,
    где на дне корабль о край
    шхуны бьет, веслом цепляет — из Рангуна в М-мандалай.
    На дороге в М-мандалай,
    рыб-летяг м-мильоны стай,
    и заря сквозь б-бухту б-бурей б-бьет, покинувши Китай!

Ей юбчонка слишкой ж-жёлта, шляпка — з-зелень, рот — кармин,
звать Суп-паял-лат, как эту королевну Тибо М-мин,
первый раз у нас случился под цигарку с г-гашишом,
под невинность лобызанья в ноги бога г-голышом —
    варвар, г-грязный идол б-блуда —
    чертов Г-главный Б-боже Б-будда
    отдавалась ему яро, когда я кусал ей г-губы…
    На дороге в М-мандалай.

Туман по́ полю стелился, в рис з-закатом солнце шло,   
и она нагнулась к банджо, прошептав: «К-кулла-ло-ло!».
Обняла́ м-меня, прижалась вдруг щекой к моей щеке,
Командиры Хати бук грузили в доке вдалеке.
    Олеслоний бук — оплот,
    в грязной заводи болот,
    там з-звенит тишина так громко, что боишься открыть свой рот.
    На дороге в М-мандалай.

Я всю эту хрень з-задвинул далеко давно за край,
нынче у господ из Сити нет делишек в М-мандалай.
Понял в Лондоне: солдатка мне моя — лет десяти —
шепчет: «Ты Восток учуял, и тебя уж не спасти.»
    Нет спасенья! На века
    терпкий запах чеснока,
    счастье воет ветром в пальмах, колокол издалека;
    На дороге в М-мандалай.

Износилась моя шкура в к-камне про́клятых пустынь,
лихорадкой пробирает до к-костей от их «пинь-тинь».
Я имел полсотни женщин: шел из света до трущоб:
все талдычат про любовь, но кто бы знал любовь еще?
    Неопрятны и жирны́,
    Боже! что поймут они?
    Я ж нежнейшую из женщин в снах увез из той страны!
    По дороге в М-мандалай.

Где чем хуже тем и лучше — я туда хочу уплыть.
Десять заповедей больше не стесняют жажду жить,
з-звонко лают к-колокольца, я вновь счастлив буду там:
в старой пагоде М-моулмейна, г-глядя вслед м-морским волнам.
    На дороге в М-мандалай,
    где на дне корабль о край
    шхуны бьет, разбивая печали вернувшихся в М-мандалай.
    На дороге в М-мандалай,
    рыб-летяг м-мильоны стай,
    и заря сквозь б-бухту б-бурей б-бьет, покинувши Китай!

<p><small><a rel=""license"" href=""http://creativecommons.org/licenses/by/3.0/deed.ru""><img alt=""Лицензия Creative Commons"" style=""border-width:0"" src=""http://i.creativecommons.org/l/by/3.0/80x15.png"" /></a></small></p>"
2015-10-11 12:02:00,Мои твиты,"<ul> <li> <a href=""http://twitter.com/mudasobwa/status/652871752415117312""><em>Сб, 17:42</em></a>: Китайская легенда: хорошие люди могут жить вечно, но для этого им необходимо все время сидеть на берегу реки. </li> <li> <a href=""http://twitter.com/mudasobwa/status/652873086719688704""><em>Сб, 17:47</em></a>: Все те люди, которым не нравится новый #кинопоиск — они ведь наверняка до сих пор ездят на лошадях, топят дровами и моются раз в неделю? </li> <li> <a href=""http://twitter.com/mudasobwa/status/652873338046545920""><em>Сб, 17:48</em></a>: Укусив себя за хвост, дятел думал: «вот я дрозд!» </li> <li> <a href=""http://twitter.com/mudasobwa/status/652873722836164609""><em>Сб, 17:49</em></a>: Мамонт — это куча мяса, бивни (два), и шерсти масса. </li> </ul>"
2015-10-13 12:02:00,Мои твиты,"<ul> <li> <a href=""http://twitter.com/pufanchik/status/652931823941644288""><em>Пн, 18:39</em></a>: RT @<a href=""http://twitter.com/pufanchik"">pufanchik</a>: —Как вам удалось достичь такого оргазма? —Из вежливости. </li> <li> <a href=""http://twitter.com/amyengineer/status/652694610041511936""><em>Пн, 18:41</em></a>: RT @<a href=""http://twitter.com/amyengineer"">amyengineer</a>: RT @<a href=""http://twitter.com/joshsusser"">joshsusser</a>: Circle of Death <a href=""http://t.co/c5NloekkvG"">http://t.co/c5NloekkvG</a> </li> <li> <a href=""http://twitter.com/mudasobwa/status/653643156311928832""><em>Пн, 20:47</em></a>: — Почему вы не открываете свой бизнес? — Видите ли, я умею и люблю работать. </li> <li> <a href=""http://twitter.com/mudasobwa/status/653846390196568064""><em>Вт, 10:15</em></a>: Хэнлон списывал на глупость помыслы всех людей, кроме Оккама, а Оккам — всех без исключения. </li> <li> <a href=""http://twitter.com/mudasobwa/status/653868537291874304""><em>Вт, 11:43</em></a>: Just wrote a post on Proper String Escaping in XXI Century <a href=""http://t.co/dMLCloj6A8"">http://t.co/dMLCloj6A8</a> <a href=""http://twitter.com/search?q=%23ruby"" title=""#ruby"">#ruby</a> <a href=""http://twitter.com/search?q=%23unicode"" title=""#unicode"">#unicode</a> </li> <li> <a href=""http://twitter.com/mudasobwa/status/653871328462807040""><em>Вт, 11:54</em></a>: Rocket science is not a rocket science. — Konstantin Tsiolkovsky </li> </ul>"
2015-10-14 12:02:00,Мои твиты,"<ul> <li> <a href=""http://twitter.com/mudasobwa/status/653986212059947008""><em>Вт, 19:30</em></a>: Two ways to write ruby code: method purpose is clear, everything inside it is not. And/or each line is clear, save for what the method does. </li> <li> <a href=""http://twitter.com/mudasobwa/status/654175366659989504""><em>Ср, 08:02</em></a>: Yeah, it is still sunrising here. <a href=""http://t.co/WPhqCL2w9t"">http://t.co/WPhqCL2w9t</a> </li> <li> <a href=""http://twitter.com/mudasobwa/status/654193988409393152""><em>Ср, 09:16</em></a>: Just wrote the post on Two Ways to Write Ruby Code <a href=""http://t.co/IziEfEcUz4"">http://t.co/IziEfEcUz4</a> . Discuss. </li> </ul>"
2015-10-15 12:02:00,Мои твиты,"<ul> <li> <a href=""http://twitter.com/mudasobwa/status/654534280551510016""><em>Чт, 07:48</em></a>: — You have your shirt not ironed today… — There in Soviet Russia we do iron hauberks only. </li> <li> <a href=""http://twitter.com/spolsky/status/654459855655190529""><em>Чт, 07:49</em></a>: RT @<a href=""http://twitter.com/spolsky"">spolsky</a>: (For teams using @<a href=""http://twitter.com/slackhq"">slackhq</a> most bugs are first mentioned in a chat room - just tell chatterbug to remember it instead of filing… </li> </ul>"
